team.id,jerseyNumber,id,fullName,link,position.code,position.name,position.type
14,10,8470621,Corey Perry,/api/v1/people/8470621,R,Right Wing,Forward
14,1,8470880,Brian Elliott,/api/v1/people/8470880,G,Goalie,Goalie
14,17,8473986,Alex Killorn,/api/v1/people/8473986,L,Left Wing,Forward
14,28,8474013,Ian Cole,/api/v1/people/8474013,D,Defenseman,Defenseman
14,14,8474034,Pat Maroon,/api/v1/people/8474034,L,Left Wing,Forward
14,91,8474564,Steven Stamkos,/api/v1/people/8474564,C,Center,Forward
14,24,8474567,Zach Bogosian,/api/v1/people/8474567,D,Defenseman,Defenseman
14,77,8475167,Victor Hedman,/api/v1/people/8475167,D,Defenseman,Defenseman
14,86,8476453,Nikita Kucherov,/api/v1/people/8476453,R,Right Wing,Forward
14,90,8476480,Vladislav Namestnikov,/api/v1/people/8476480,C,Center,Forward
14,88,8476883,Andrei Vasilevskiy,/api/v1/people/8476883,G,Goalie,Goalie
14,20,8477426,Nicholas Paul,/api/v1/people/8477426,L,Left Wing,Forward
14,41,8477930,Pierre-Edouard Bellemare,/api/v1/people/8477930,L,Left Wing,Forward
14,7,8477938,Haydn Fleury,/api/v1/people/8477938,D,Defenseman,Defenseman
14,21,8478010,Brayden Point,/api/v1/people/8478010,C,Center,Forward
14,81,8478416,Erik Cernak,/api/v1/people/8478416,D,Defenseman,Defenseman
14,71,8478519,Anthony Cirelli,/api/v1/people/8478519,C,Center,Forward
14,98,8479410,Mikhail Sergachev,/api/v1/people/8479410,D,Defenseman,Defenseman
14,79,8479525,Ross Colton,/api/v1/people/8479525,C,Center,Forward
14,38,8479542,Brandon Hagel,/api/v1/people/8479542,L,Left Wing,Forward
14,52,8479984,Cal Foote,/api/v1/people/8479984,D,Defenseman,Defenseman
14,48,8480246,Nick Perbix,/api/v1/people/8480246,D,Defenseman,Defenseman
15,62,8474176,Carl Hagelin,/api/v1/people/8474176,L,Left Wing,Forward
15,74,8474590,John Carlson,/api/v1/people/8474590,D,Defenseman,Defenseman
15,28,8477015,Connor Brown,/api/v1/people/8477015,R,Right Wing,Forward
15,8,8471214,Alex Ovechkin,/api/v1/people/8471214,L,Left Wing,Forward
15,77,8471698,T.J. Oshie,/api/v1/people/8471698,R,Right Wing,Forward
15,19,8473563,Nicklas Backstrom,/api/v1/people/8473563,C,Center,Forward
15,20,8474189,Lars Eller,/api/v1/people/8474189,C,Center,Forward
15,90,8475149,Marcus Johansson,/api/v1/people/8475149,L,Left Wing,Forward
15,9,8475200,Dmitry Orlov,/api/v1/people/8475200,D,Defenseman,Defenseman
15,35,8475311,Darcy Kuemper,/api/v1/people/8475311,G,Goalie,Goalie
15,3,8475324,Nick Jensen,/api/v1/people/8475324,D,Defenseman,Defenseman
15,26,8475343,Nic Dowd,/api/v1/people/8475343,C,Center,Forward
15,52,8475625,Matt Irwin,/api/v1/people/8475625,D,Defenseman,Defenseman
15,92,8475744,Evgeny Kuznetsov,/api/v1/people/8475744,C,Center,Forward
15,43,8476880,Tom Wilson,/api/v1/people/8476880,R,Right Wing,Forward
15,56,8476979,Erik Gustafsson,/api/v1/people/8476979,D,Defenseman,Defenseman
15,39,8477511,Anthony Mantha,/api/v1/people/8477511,R,Right Wing,Forward
15,73,8477839,Conor Sheary,/api/v1/people/8477839,L,Left Wing,Forward
15,57,8477845,Trevor van Riemsdyk,/api/v1/people/8477845,D,Defenseman,Defenseman
15,21,8477903,Garnet Hathaway,/api/v1/people/8477903,R,Right Wing,Forward
15,15,8477947,Sonny Milano,/api/v1/people/8477947,L,Left Wing,Forward
15,96,8477979,Nicolas Aube-Kubel,/api/v1/people/8477979,R,Right Wing,Forward
15,17,8478440,Dylan Strome,/api/v1/people/8478440,C,Center,Forward
15,79,8479292,Charlie Lindgren,/api/v1/people/8479292,G,Goalie,Goalie
15,42,8480796,Martin Fehervary,/api/v1/people/8480796,D,Defenseman,Defenseman
15,27,8480823,Alexander Alexeyev,/api/v1/people/8480823,D,Defenseman,Defenseman
16,88,8474141,Patrick Kane,/api/v1/people/8474141,R,Right Wing,Forward
16,25,8475797,Jarred Tinordi,/api/v1/people/8475797,D,Defenseman,Defenseman
16,16,8476915,Jujhar Khaira,/api/v1/people/8476915,L,Left Wing,Forward
16,8,8471677,Jack Johnson,/api/v1/people/8471677,D,Defenseman,Defenseman
16,32,8471774,Alex Stalock,/api/v1/people/8471774,G,Goalie,Goalie
16,19,8473604,Jonathan Toews,/api/v1/people/8473604,C,Center,Forward
16,90,8474870,Tyler Johnson,/api/v1/people/8474870,C,Center,Forward
16,34,8475852,Petr Mrazek,/api/v1/people/8475852,G,Goalie,Goalie
16,43,8476278,Colin Blackwell,/api/v1/people/8476278,C,Center,Forward
16,5,8476473,Connor Murphy,/api/v1/people/8476473,D,Defenseman,Defenseman
16,6,8476931,Jake McCabe,/api/v1/people/8476931,D,Defenseman,Defenseman
16,89,8476960,Andreas Athanasiou,/api/v1/people/8476960,C,Center,Forward
16,17,8477450,Jason Dickinson,/api/v1/people/8477450,C,Center,Forward
16,4,8477495,Seth Jones,/api/v1/people/8477495,D,Defenseman,Defenseman
16,13,8477503,Max Domi,/api/v1/people/8477503,C,Center,Forward
16,24,8478043,Sam Lafferty,/api/v1/people/8478043,C,Center,Forward
16,82,8478452,Caleb Jones,/api/v1/people/8478452,D,Defenseman,Defenseman
16,14,8479383,Boris Katchouk,/api/v1/people/8479383,L,Left Wing,Forward
16,11,8479390,Taylor Raddysh,/api/v1/people/8479390,R,Right Wing,Forward
16,58,8480025,MacKenzie Entwistle,/api/v1/people/8480025,R,Right Wing,Forward
16,51,8480070,Ian Mitchell,/api/v1/people/8480070,D,Defenseman,Defenseman
16,23,8480798,Philipp Kurashev,/api/v1/people/8480798,C,Center,Forward
16,52,8481147,Reese Johnson,/api/v1/people/8481147,C,Center,Forward
16,27,8482117,Lukas Reichel,/api/v1/people/8482117,L,Left Wing,Forward
16,41,8482192,Isaak Phillips,/api/v1/people/8482192,D,Defenseman,Defenseman
16,30,8483530,Jaxson Stauber,/api/v1/people/8483530,G,Goalie,Goalie
17,38,8477462,Robert Hagg,/api/v1/people/8477462,D,Defenseman,Defenseman
17,22,8479644,Matt Luff,/api/v1/people/8479644,R,Right Wing,Forward
17,11,8480821,Filip Zadina,/api/v1/people/8480821,R,Right Wing,Forward
17,57,8474102,David Perron,/api/v1/people/8474102,L,Left Wing,Forward
17,8,8475279,Ben Chiarot,/api/v1/people/8475279,D,Defenseman,Defenseman
17,45,8476433,Magnus Hellberg,/api/v1/people/8476433,G,Goalie,Goalie
17,2,8476874,Olli Maatta,/api/v1/people/8476874,D,Defenseman,Defenseman
17,70,8476897,Oskar Sundqvist,/api/v1/people/8476897,C,Center,Forward
17,81,8477330,Dominik Kubalik,/api/v1/people/8477330,L,Left Wing,Forward
17,18,8477429,Andrew Copp,/api/v1/people/8477429,C,Center,Forward
17,73,8477454,Adam Erne,/api/v1/people/8477454,L,Left Wing,Forward
17,59,8477479,Tyler Bertuzzi,/api/v1/people/8477479,L,Left Wing,Forward
17,82,8477851,Jordan Oesterle,/api/v1/people/8477851,D,Defenseman,Defenseman
17,71,8477946,Dylan Larkin,/api/v1/people/8477946,C,Center,Forward
17,14,8477952,Robby Fabbri,/api/v1/people/8477952,C,Center,Forward
17,39,8477968,Alex Nedeljkovic,/api/v1/people/8477968,G,Goalie,Goalie
17,96,8478013,Jake Walman,/api/v1/people/8478013,D,Defenseman,Defenseman
17,35,8478024,Ville Husso,/api/v1/people/8478024,G,Goalie,Goalie
17,17,8479425,Filip Hronek,/api/v1/people/8479425,D,Defenseman,Defenseman
17,27,8479992,Michael Rasmussen,/api/v1/people/8479992,C,Center,Forward
17,28,8480184,Gustav Lindstrom,/api/v1/people/8480184,D,Defenseman,Defenseman
17,24,8480459,Pius Suter,/api/v1/people/8480459,C,Center,Forward
17,90,8480813,Joe Veleno,/api/v1/people/8480813,C,Center,Forward
17,52,8481013,Jonatan Berggren,/api/v1/people/8481013,R,Right Wing,Forward
17,53,8481542,Moritz Seider,/api/v1/people/8481542,D,Defenseman,Defenseman
17,23,8482078,Lucas Raymond,/api/v1/people/8482078,L,Left Wing,Forward
18,90,8474697,Mark Borowiecki,/api/v1/people/8474697,D,Defenseman,Defenseman
18,27,8474151,Ryan McDonagh,/api/v1/people/8474151,D,Defenseman,Defenseman
18,59,8474600,Roman Josi,/api/v1/people/8474600,D,Defenseman,Defenseman
18,95,8475168,Matt Duchene,/api/v1/people/8475168,C,Center,Forward
18,14,8475218,Mattias Ekholm,/api/v1/people/8475218,D,Defenseman,Defenseman
18,92,8475793,Ryan Johansen,/api/v1/people/8475793,C,Center,Forward
18,64,8475798,Mikael Granlund,/api/v1/people/8475798,C,Center,Forward
18,22,8475799,Nino Niederreiter,/api/v1/people/8475799,R,Right Wing,Forward
18,17,8476873,Mark Jankowski,/api/v1/people/8476873,C,Center,Forward
18,9,8476887,Filip Forsberg,/api/v1/people/8476887,L,Left Wing,Forward
18,10,8476925,Colton Sissons,/api/v1/people/8476925,C,Center,Forward
18,74,8477424,Juuse Saros,/api/v1/people/8477424,G,Goalie,Goalie
18,47,8477446,Michael McCarron,/api/v1/people/8477446,R,Right Wing,Forward
